mMed,rinv,yukawa,mDark,obs_lim,expected_m2sigma,expected_m1sigma,expected,expected_p1sigma,expected_p2sigma
3000,0p3,3p5,20,0.2299717258737129,0.0494155883789062,0.0747705996036529,0.1240234375,0.2159749120473861,0.3733599185943603
3500,0p3,3p5,20,0.3215889741881717,0.0824508666992187,0.1228154301643371,0.197265625,0.3309381902217865,0.5956541299819946
4000,0p3,3p5,20,0.2150694224868873,0.1152420043945312,0.1808522343635559,0.310546875,0.5630689263343811,0.9413490891456604
500,0p3,1,1,0.0682527754516504,0.0584655739367008,0.0813184231519699,0.1207031235098838,0.1846931278705597,0.275866836309433
600,0p3,1,1,0.2475266861319046,0.0948730409145355,0.1387058198451995,0.2093749940395355,0.3187046647071838,0.4665129482746124
700,0p3,1,1,0.2788724788420232,0.07843017578125,0.1224000975489616,0.2007812559604644,0.3240309357643127,0.4919111430644989
800,0p3,1,1,0.1941797115916858,0.06536865234375,0.0924139022827148,0.140625,0.2230239808559417,0.3429045081138611
900,0p3,1,1,0.2330382267221985,0.0480590797960758,0.1311484277248382,0.1937499940395355,0.295693039894104,0.4435756206512451
1000,0p3,1,1,0.27909943741146,0.082489013671875,0.2146432995796203,0.3312500119209289,0.5253453850746155,0.8077306747436523
1500,0p3,1,1,0.6172615651971973,0.36993408203125,0.5338730812072754,0.81640625,1.304540753364563,2.050013780593872
2000,0p3,1,1,1.6434608285548813,1.04144287109375,1.5150747299194336,2.359375,3.84529709815979,6.108124732971191
2500,0p3,1,1,3.668484833203931,2.515625,3.677978515625,5.75,9.279641151428224,14.728452682495115
3000,0p3,1,1,13.06310230371569,5.855712890625,8.328633308410645,12.8125,20.677461624145508,32.53315353393555
3500,0p3,1,1,16.91999471756857,13.130859375,19.738082885742188,31.125,49.362640380859375,75.89619445800781
4000,0p3,1,1,34.05322064355905,17.9443359375,28.2282829284668,46.875,79.38616180419922,141.0598602294922
500,0p3,1,5,0.1177392596826397,0.0506744384765625,0.0712223052978515,0.10546875,0.1601211279630661,0.2385361343622207
600,0p3,1,5,0.1322748454975099,0.0545471161603927,0.0808263272047042,0.1292968690395355,0.2086658328771591,0.3196583688259125
700,0p3,1,5,0.2278587243179941,0.0748046860098838,0.1028564423322677,0.1496093720197677,0.2217676490545272,0.3192265033721924
800,0p3,1,5,0.1183545355345873,0.0644592270255088,0.0933173671364784,0.1398437470197677,0.2100790590047836,0.3117783069610595
900,0p3,1,5,0.1140241656479865,0.0817657485604286,0.1178139820694923,0.1789062470197677,0.2780310213565826,0.4172636866569519
1000,0p3,1,5,0.1360355470838609,0.0856536850333213,0.1169202327728271,0.1726562529802322,0.262124240398407,0.3904924988746643
1500,0p3,1,5,0.7118880162602699,0.30267333984375,0.4396355152130127,0.6796875,1.0806585550308228,1.6584936380386353
2000,0p3,1,5,0.8916338040833482,0.6942138671875,1.0867862701416016,1.890625,3.322486400604248,5.616408348083496
2500,0p3,1,5,2.428465858339887,1.5592041015625,2.3348989486694336,3.765625,6.287295341491699,10.361557006835938
3000,0p3,1,5,5.559924070555921,3.970703125,5.87139892578125,9.5,16.316133499145508,27.905925750732425
3500,0p3,1,5,13.737960084350387,9.14404296875,12.753410339355469,19.1875,29.895008087158203,45.67663192749024
4000,0p3,1,5,63.18637087076092,20.57421875,32.894989013671875,57.25,105.62860107421876,173.55404663085938
500,0p3,1,10,0.11328295292526375,0.049551392067223754,0.06954964660108084,0.1029980484396219,0.15446338653564454,0.2234683319926261
600,0p3,1,10,0.13749934737891878,0.05139953549951311,0.07513296548277135,0.1187207011505961,0.1907473303377628,0.29271078631281855
700,0p3,1,10,0.15537578421034692,0.06253593331202859,0.08825811725109813,0.1319921843707561,0.2031149830669164,0.3069927729666233
800,0p3,1,10,0.14267835380745197,0.07030471730977292,0.10280785989016292,0.15744140483438965,0.2423406947404146,0.3618360690772533
900,0p3,1,10,0.12234706117498105,0.07780319284647702,0.11001464538276193,0.16511718891561025,0.2539402283728122,0.3763908587396144
1000,0p3,1,10,0.1342011113413629,0.07885688766837115,0.1119596948847174,0.17195312753319736,0.2682269737124443,0.4040048100054264
1500,0p3,1,10,0.7409786725593192,0.30465300381183624,0.4510662287473678,0.7101171761751175,1.1501090794801712,1.8075727730989457
2000,0p3,1,10,1.094539930166286,0.7474070683121681,1.136896026134491,1.9180859148502347,3.2933183550834655,5.448719787597657
2500,0p3,1,10,4.603875072994105,1.6221545070409775,2.479569602012634,4.11726553440094,7.064078354835511,11.629064416885377
3000,0p3,1,10,8.866437596715972,4.463933241367339,6.614578020572662,10.63968768119812,17.73622212409973,28.98954520225525
3500,0p3,1,10,23.71072847745699,7.942187499999999,14.689353084564209,22.894062137603758,36.5446795463562,57.48795804977417
4000,0p3,1,10,50.572861020157816,18.82998046875,28.81293563842773,48.068749999999994,84.24178981781006,137.33292274475096
1500,0p3,1,30,0.481205281406607,0.30267333984375,0.4381628036499023,0.6796875,1.0914955139160156,1.7086995840072632
2000,0p3,1,30,1.649513231964958,0.7998046875,1.1613235473632812,1.828125,3.0086164474487305,4.861673831939697
2500,0p3,1,30,2.6237493774867966,1.839111328125,2.7054519653320312,4.359375,7.382913112640381,12.751484870910645
3000,0p3,1,30,12.004234626573036,4.486083984375,6.703758239746094,10.9375,18.174659729003903,29.841716766357425
3500,0p3,1,30,29.25127089977971,8.8095703125,13.547836303710938,23.25,41.97045135498047,70.47540283203125
4000,0p3,1,30,159.2799387934087,21.09375,33.453369140625,56.25,96.60868072509766,165.23245239257812
1500,0p3,1,40,0.3570187437488571,0.2979278564453125,0.4400360584259033,0.693359375,1.1245059967041016,1.7625027894973757
2000,0p3,1,40,0.894179227654164,0.7855224609375,1.1063194274902344,1.71875,2.856017827987671,4.670893669128418
2500,0p3,1,40,2.0132717176845034,1.544189453125,2.33462142944336,3.953125,7.010046005249023,11.981728553771973
3000,0p3,1,40,11.429096787291336,5.059326171875,7.576311111450195,12.21875,19.5244197845459,30.95703125
3500,0p3,1,40,11.348879446427476,7.369140625,11.267547607421877,19.25,34.44280242919922,58.34820556640625
4000,0p3,1,40,23.90465195302897,15.700927734375,24.145740509033203,41.4375,75.46286010742188,125.61051940917967
2000,0p3,1,50,1.3130644783821113,0.92315673828125,1.3443470001220703,2.1484375,3.5700223445892334,5.792318820953369
2500,0p3,1,50,4.240987114343069,2.161865234375,3.093729019165039,4.8125,7.728290557861328,12.314186096191406
3000,0p3,1,50,4.817302680375116,3.8348388671875,5.837483406066895,9.53125,15.989885330200195,26.03935432434082
3500,0p3,1,50,18.169192308612395,8.744873046875,12.362926483154297,18.8125,29.535701751708984,47.04585266113281
4000,0p3,1,50,110.53168823270605,21.814453125,33.39335632324219,54.75,91.4136199951172,145.9589385986328
2500,0p3,1,60,11.970662730202106,2.01708984375,2.9888648986816406,4.78125,7.983038902282715,12.95129108428955
3000,0p3,1,60,6.946666984164956,3.94775390625,5.789852142333984,9.1875,15.120226860046388,24.43302726745605
3500,0p3,1,60,8.326792489864792,6.95703125,10.372833251953123,17.125,29.27545547485352,47.62166213989258
4000,0p3,1,60,45.64122505614476,16.19921875,24.3377685546875,39.875,67.53115844726562,109.08245849609376
3000,0p3,1,70,10.314990777634431,4.571533203125,6.759834289550781,10.9375,18.5234375,30.84173011779785
3500,0p3,1,70,22.33096668223559,9.908203125,14.247116088867188,22.25,35.90817642211914,56.00049591064453
4000,0p3,1,70,24.4018245737765,14.453125,22.11553955078125,37.0,63.84201431274414,104.90697479248048
3000,0p3,1,80,8.45890334898151,5.0360107421875,7.432456016540527,11.5625,18.93667984008789,30.470355987548828
3500,0p3,1,80,30.277713982152704,9.405517578125,13.50477695465088,20.9375,33.956912994384766,53.68685150146485
4000,0p3,1,80,46.51666151922116,13.12744140625,20.60123062133789,35.375,61.60216522216797,98.23294830322266
3500,0p3,1,90,19.407686793906056,9.21142578125,13.414138793945312,21.4375,35.62233352661133,57.10385894775391
4000,0p3,1,90,89.38020725557593,18.6328125,27.49053955078125,45.0,71.90579223632812,109.95225524902344
4000,0p3,1,100,41.0728786730196,13.7490234375,19.769874572753903,30.875,50.81219100952149,82.10826873779297
