mMed,rinv,yukawa,mDark,obs_lim,expected_m2sigma,expected_m1sigma,expected,expected_p1sigma,expected_p2sigma
3500,0p05,1,20,166.21599476113897,59.36015319824219,92.68541717529295,163.39999389648438,279.3348388671875,454.3871154785156
4000,0p05,1,20,228.37209644634467,68.0625,105.727294921875,181.5,327.6402893066406,550.162841796875
500,0p1,1,20,0.3838368206527206,0.1015136763453483,0.1365291625261306,0.1968750059604644,0.2941842675209045,0.4262065589427948
600,0p1,1,20,0.4299246276052298,0.14599609375,0.2276802062988281,0.359375,0.5742475986480713,0.8537834882736206
700,0p1,1,20,0.1399060201015827,0.062042236328125,0.0990073680877685,0.1671874970197677,0.2898081243038177,0.4810696840286255
800,0p1,1,20,0.3043304073075629,0.1202056854963302,0.174263522028923,0.258593738079071,0.3884702324867248,0.5594323873519897
900,0p1,1,20,0.4460934150453073,0.1649902313947677,0.2423471361398697,0.387499988079071,0.6377238035202026,0.9967206716537476
1000,0p1,1,20,0.6237910537376441,0.2807861566543579,0.4235798120498657,0.6781250238418579,1.0646591186523438,1.6023308038711548
1500,0p1,1,20,2.0803049471648376,0.942041039466858,1.408537745475769,2.212500095367432,3.5706446170806885,5.4699249267578125
2000,0p1,1,20,5.380969089323556,2.9085938930511475,4.349524021148682,7.300000190734863,12.537660598754885,20.160457611083984
2500,0p1,1,20,45.85173545840825,6.903124809265137,10.99267578125,18.799999237060547,30.939889907836918,49.99628829956055
3000,0p1,1,20,57.996579859543615,12.576171875,20.02655029296875,34.25,57.185691833496094,92.0414581298828
3500,0p1,1,20,80.35652169448603,27.5,40.90234375,63.99999999999999,102.2660140991211,149.16180419921875
4000,0p1,1,20,179.77424178188494,55.51875305175781,82.26606750488281,131.60000610351562,224.9722595214844,390.5949096679688
500,0p2,1,20,0.0745716430999574,0.0443054176867008,0.0617938004434108,0.0929687470197677,0.161896139383316,0.2572214007377624
600,0p2,1,20,0.2699467392123835,0.0786026045680046,0.1199857294559478,0.1804687529802322,0.2804592549800873,0.4093785583972931
700,0p2,1,20,0.1411416757553844,0.0662475600838661,0.0999368205666542,0.1570312529802322,0.2415322512388229,0.3530681729316711
800,0p2,1,20,0.1703313820550482,0.0833862274885177,0.1244520172476768,0.1976562440395355,0.3221391141414642,0.5073492527008057
