mMed,mDark,rinv,yukawa,obs_lim,expected_m2sigma,expected_m1sigma,expected,expected_p1sigma,expected_p2sigma
600.0,20,0.3,0.5,0.0683,0.0520,0.0726,0.1082,0.1647,0.2411
700.0,20,0.3,0.5,0.1140,0.0660,0.0915,0.1379,0.2099,0.2991
800.0,20,0.3,0.5,0.1021,0.0696,0.0986,0.1504,0.2337,0.3446
900.0,20,0.3,0.5,0.1584,0.1080,0.1459,0.2102,0.3149,0.4630
1000.0,20,0.3,0.5,0.1292,0.0930,0.1270,0.1867,0.2805,0.4096
1500.0,20,0.3,0.5,0.5681,0.4197,0.5849,0.8844,1.4026,2.2369
2000.0,20,0.3,0.5,3.0652,1.9293,2.8285,4.6375,8.1497,14.0555
2500.0,20,0.3,0.5,9.8491,5.6945,8.5048,14.3625,26.1559,43.5374
3000.0,20,0.3,0.5,49.1331,19.9755,30.9056,53.6875,102.0517,162.7777
3500.0,20,0.3,0.5,85.9654,38.2180,58.7839,101.6500,185.1173,308.1342
4000.0,20,0.3,0.5,136.3490,69.7817,100.1269,148.2500,233.9350,371.1740
500.0,20,0.3,1,0.0297,0.0182,0.0242,0.0348,0.0511,0.0780
600.0,20,0.3,1,0.0173,0.0102,0.0157,0.0262,0.0466,0.0793
700.0,20,0.3,1,0.0908,0.0270,0.0402,0.0629,0.0977,0.1383
800.0,20,0.3,1,0.0409,0.0214,0.0330,0.0559,0.0991,0.1693
900.0,20,0.3,1,0.0411,0.0235,0.0331,0.0527,0.0868,0.1425
1000.0,20,0.3,1,0.0761,0.0284,0.0389,0.0668,0.1001,0.1415
1500.0,20,0.3,1,0.2459,0.0961,0.1521,0.2570,0.4517,0.7326
2000.0,20,0.3,1,0.5022,0.2788,0.4081,0.7031,1.3702,2.1321
2500.0,20,0.3,1,1.4792,0.8266,1.2947,2.3063,4.3838,6.9924
3000.0,20,0.3,1,4.5861,1.5253,2.3330,4.0781,7.2317,12.3606
3500.0,20,0.3,1,7.5333,3.3468,5.7706,12.0250,24.1998,36.4697
4000.0,20,0.3,1,25.9881,7.1805,11.6187,21.5625,40.6432,65.3737
500.0,20,0.3,1.5,0.0096,0.0066,0.0101,0.0168,0.0283,0.0465
600.0,20,0.3,1.5,0.0079,0.0057,0.0077,0.0121,0.0202,0.0350
700.0,20,0.3,1.5,0.0093,0.0064,0.0087,0.0137,0.0228,0.0384
800.0,20,0.3,1.5,0.0154,0.0087,0.0134,0.0223,0.0397,0.0646
